"Торшер: и уютно, и модно","Светильник в виде торшера уже давно стал украшением интерьера любой жилой квартиры. ",0b01677cb52671313a3417f7570473ca.txt,,847,Освещение;Дизайн,fad586b8595b36c1db3c38daa11ccfd8.jpg,5,"2012-11-14 02:51:53","купить торшер Харьков|модные торшеры"
"Светодиодные лампочки помогут ощутимо сэкономить","Харьков, Донецк и Киев попали в пилотный проект по установке энергосберегающих светильников на улицах, площадях, объектах ЖКХ etc.",5801f22e45c3caa4d217b267ed063505.txt,,330,"Новые технологии",aba3551a917daf355fa3eb2e4ef45712.jpg,6,"2012-11-14 17:54:15","светодиодные лампы Харьков"
"В Москве прошла самая светлая выставка - Interlight 2012","На прошедшей неделе в Выставочном комплексе «Экспоцентр» в Москве прошла уже ставшая традиционной международная Выставка декоративного и технического освеще",794842db467459afd18232ca8258a1d0.txt,,266,"Новости мира",d9c7b73ebf5f31dc69a8f413b2bc5f66.jpg,9,"2012-11-15 20:21:25","Светодиодные светильники Харьков|купить светильники промышленные|купить светильники уличные"
"Компания Helvar получила премию от  ENEC","В нынешнем году исполняется 20 лет со дня учреждения системы ENEC (European Norms Electrical Certification). ",858f0db49a9991eef1fb403ce0d488c0.txt,,226,"Новости мира",b208b88a3cefe9b8826b013ad609950e.jpg,10,"2012-11-16 18:18:30","Компания Helvar|интернет магазин светильников Харьков"
"Немцы придумали, как управлять электричеством на улице","Немецкая компания OSRAM объявила о выпуске на потребительский рынок инновационной системы управления светом на открытых площадках – Street Light Control (SL",ecdb36a4606ef64f1a2a68df3541e6f1.txt,,246,"Новости мира;Новые технологии",26dd835115a2a7e7f3b59f23941ef5ca.png,12,"2012-11-19 01:53:51","интеллектуальная система управления наружным освещением|системы уличного освещения|системы управления светом OSRAM"
"В Украине появится памятник лампочке","В Киеве, в парке «Часопис» прошла презентация проекта «Философия чистого света». ",9189473d855dd071e9580d043ebc772e.txt,,271,"Новости Украины",8632efee86f95c055d6c57e2832b60f8.jpg,13,"2012-11-20 13:24:04","Светодиодные лампы Харьков|энергосберегающие лампы Харьков|лампы накаливания Харьков"
"Электропроводка: какая лучше","Электропроводка по способу прокладки в помещении бывает скрытая и открытая. Какой тип монтажа электропроводки лучше выбрать?",7354816751c74dea6a7304844f23ed33.txt,,820,"Советы мастеров",285e84e6176679d96643c7d63cab4b3b.jpg,14,"2012-11-20 15:45:41","электропроводка харьков|ремонт электропроводки харьков|услуги электрика харьков"
"«Умные» светодиодные лампы Philips Hue","Philips предложил не только разноцветные, но и «умные» лампочки Hue",b93a42dc95f5ee5d3bf2d2ab678efcb3.txt,,312,"Новости мира;Новые технологии",a3f7f079f72789cef84d7b376d33c746.jpg,15,"2012-11-21 00:28:37","светодиодные лампы Philips Hue|«умные» лампочки Hue"
"Выбираем светильник детский в Харькове","Предлагаем светильники детские в Харькове из современных материалов в разнообразном цветовом исполнении. Самое главное – мы гарантируем качество и безопасно",21dc60afe2f8dc272348795646a0bc6c.txt,,582,"Освещение;Дизайн;Интересные идеи",571a884c70b0145e0d2eb6851ab2c744.jpg,16,"2012-11-21 16:35:16","светильник детский Харьков|детские светильники купить"
"Продукцию Schneider Electric теперь производят в Одессе","В Одессе открылось лицензионное производство продукции Schneider Electric – линейки электротехнического оборудования Okken. ",678d380b68e73803e9ec1f81947e8328.txt,,401,"Новости Украины",4f0b6db4e3c8e1fa87212080f4f54e8e.gif,17,"2012-11-22 00:51:52","Schneider Electric|концерн «Ксимекс»|электротехническое оборудование Okken"
"Как избежать пожарной опасности электропроводки","Как бы это не показалось странным, но ненадежная электропроводка опасна не столько риском поражения током, сколько перспективой возникновения пожара.",1cd4ff466b7435a637beb04f2243d4ac.txt,,479,"Советы мастеров",4ac9f38730ceb5934a7f526859c00330.jpg,18,"2012-11-22 19:50:57","услуги электрика харьков|правила монтажа электропроводки|пожарная безопасность электропроводки"
"ЭРА выпустила «крейсер» в стиле Cruiser","Торговая марка ЭРА представила сетевой фильтр ЭРА c USB-гнёздами в новом стиле Cruiser.",8fc6408912ba77d7614510f772ad1238.txt,,210,"Новые технологии",da8b9319b590a19d0798d40766491773.jpg,19,"2012-11-23 17:59:34","сетевой фильтр ЭРА Cruiser|сетевой фильтр USB-гнёзда"
"Электричество: будьте внимательны и осторожны","В процессе эксплуатации электропроводки в квартире необходим постоянный контроль за исправностью электроприборов, розеток, выключателей, предохранителей и с",132e6bb557f23bb0ca75a9cd9fd25b91.txt,,579,"Советы мастеров",d240b2c61b3395f35a1edf987fd600d5.jpeg,20,"2012-11-25 16:45:11","Меры электробезопасности|безопасность электропроводки|противопожарная безопасность"
"Downlight-светильникам нашли замену","Очередным продуктом в предложении ELGO стал современный интерьерный светильник типа downlight под названием LUMIN со светодиодами LED, оснащенный внутренним",c6cb22f087e2fed1e49d19bc18a499f9.txt,,250,"Новые технологии",2adf91a96b55e6808ae10bfe261d18ec.png,21,"2012-11-26 11:24:24","светильник LUMIN со внутренним блоком питания|интернерные светильники типа downlight|продукция компании Brilux"
"«Сименс» заинтересовался харьковским проектом","В Киеве прошел коммунальный инвестиционный форум, в котом приняли участие харьковчане.",62c901c2ec5a1883cde3f21d428db19a.txt,,206,"Новости Украины",cf5162b6345545b7e800949b7007209c.jpg,22,"2012-11-27 12:15:13","коммунальный инвестиционный форум Киев|КСП «Харьковгорлифт»|Сименс Украина"
"Электропроводка: как правильно выбрать сечение  ","При расчете электропроводки необходимо соблюдать соответствие номиналов автоматов защиты и сечения проводов. ",fb036ff75d71f254b15fb254c83214c0.txt,,866,"Советы мастеров",782c193c42c2b94f0872542da4bbf239.jpg,23,"2012-11-27 13:15:08","выбрать сечение электропроводки|расчет сечения проводов|выбор сечения кабеля"
"Уникальный харьковский парк осветили энергосберегающими лампами","В парке на Новой Баварии в Харькове сегодня начала функционировать новая система электроосвещения.",4faca51fa548d7028d6079b000675652.txt,,179,"Новости Украины",4b5163a811c330ae6b1cc2f8a5ad859a.jpg,24,"2012-11-28 14:06:11","Энергосберегающие лампы Харьков|программа энергосбережения|наружное освещение Харьков"
"10 правил монтажа электропроводки","Правила монтажа электропроводки необходимо знать и строго соблюдать. Это обеспечит безопасность и надежность электропроводки.",b4d757765a4a67c997bea724337c9350.txt,,686,"Советы мастеров",3f8b8ef77ce39567f74c9605776255b4.jpg,25,"2012-11-29 10:29:44","правила монтажа электропроводки|надежность электропроводки"
"В Харькове экономят на многотарифных счетчиках","В Харькове на объектах наружного освещения установили 381 многотарифный счетчик электроэнергии.",bc1eb50a250fef3cdfa3b70f843c3970.txt,,257,"Новости Украины",c4cf18afd54ff2f7ba583e926d0f3614.jpeg,26,"2012-11-29 16:15:59","многотарифные счетчики электроэнергии|экономия электроэнергии"
"В Оксфордском технопарке будут изготавливать харьковские светильники","Дорожные светильники, разработанные в Харькове, будут серийно изготавливаться на базе технопарка Оксфорда в Великобритании. ",902020602394cd76b9ebc11ebda11c5b.txt,,235,"Новости мира;Новые технологии",934f3fc76c69ca5a578f54656e14872b.jpg,27,"2012-11-30 11:37:32","НТК «Эксперт»|Харьков|светодиодные дорожные светильники|технопарк Оксфорда|дорожный светильник трансформер"
"Розетки требуют правильной установки","Для правильной установки розеток рекомендуем предварительно распланировать, что и где будет подключаться. Это поможет избавиться от тройников и удлинителей
",d98ad4122cbe26f86ae1143e4f294830.txt,,544,"Советы мастеров;Своими руками",3a46b191a419ee141a63a7ac3ae812ed.jpg,28,"2012-11-30 13:56:45","Установка розеток Харьков|безопасное размещение розеток"
"Schneider Electric научил управлять энергией","Schneider Electric научил интеллектуальному и экономичному управлению энергией",982b6bb4d81eee29f47e484a4491bf6d.txt,,243,"Новые технологии",31e9b083bcd8ba4144c710aa579d4f24.jpg,29,"2012-12-03 13:40:31","управление энергией EcoStruxure|Schneider Electric Экспо 2012"
"В Харькове пройдет выставка светотехники","«Современные тенденции развития светотехники»: такова тема V Международной научно-технической конференции, которая пройдет в Харьковской национальной академ",6b0a00b7fb064c21b265925a5bb87151.txt,,188,"Новости Украины",1a82bbdd40500f50b82bde72977b0ac7.jpg,30,"2012-12-04 15:59:58","LEDLIGHT’2013|CITYLIGHT|Современные тенденции развития светотехники|выставки Харьков"
"Экономия своими руками","Светильник Александра Панькина, который он собирает у себя в гараже, получил диплом Всероссийской выставки-ярмарки в ВВЦ.",d59b921f92c046555dacb2715af94544.txt,,208,"Новые технологии",65c8d8bac896ba07b4124ee4c4cd915f.jpg,31,"2012-12-05 17:16:35","экономичный светильник|Александр Панькин"
"Нажать и воткнуть: как правильно подобрать электрофурнитуру","Понятие электрофурнитуры включает в себя розетки, выключатели, регуляторы освещенности (диммеры), удлинители, автоматы, счетчики, кабели. ",7a5b44b59dd6a91ae7e17ab3a5f6196e.txt,,644,"Советы мастеров;Своими руками",047f69c082db16763348bbbfab46ec18.jpeg,32,"2012-12-05 20:34:47","Купить розетки Харьков|выбрать диммеры Харьков|электрофурнитура"
