_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
торшеры,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};shirina{7};vystup{8};diametr{9};dlina{10};klass_elektrobezopasnosti{11};klass_ip{12};vyklyuchatel{13};material{14};cvet{15};seriya{16};dop_dannye{17},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;длина;класс электробезопасности;класс IP;выключатель;материал;цвет;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;диаметр;длина;класс электробезопасности;класс IP;выключатель;материал;цвет;серия;доп. данные"
фонарные_столбы,kolichestvo_lamp{1};tip_cokolya{2};moschnost_lampy{3};napryazhenie{4};vysota{5};dlina{6};shirina{7};vystup{8};diametr{9};ploschad_osvescheniya{10};klass_elektrobezopasnosti{11};klass_ip{12};cvetovaya_temperatura{13};material{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;диаметр;площадь освещения;класс электробезопасности;класс IP;цветовая температура;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;диаметр;площадь освещения;класс электробезопасности;класс IP;цветовая температура;материал;серия;доп. данные"
прожекторы,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};dlina{7};shirina{8};vystup{9};klass_elektrobezopasnosti{10};klass_ip{11};material{12};cvet{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;длина;ширина;выступ;класс электробезопасности;класс IP;материал;цвет;серия;доп. данные"
датчики_движения,kolichestvo_lamp{1};tip_cokolya{2};moschnost{3};napryazhenie{4};vysota{5};shirina{6};vystup{7};klass_bezopasnosti{8};ugol_obzora{9};klass_ip{10};cvet{11};material{12};seriya{13};dop_dannye{14},"количество ламп;тип цоколя;мощность;напряжение;высота;ширина;выступ;класс безопасности;угол обзора;класс IP;цвет;материал;серия;доп. данные","количество ламп;тип цоколя;мощность;напряжение;высота;ширина;выступ;класс безопасности;угол обзора;класс IP;цвет;материал;серия;доп. данные"
зеркала_с_подсветкой,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};vysota{6};shirina{7};vystup{8};glubina{9};klass_elektrobezopasnosti{10};klass_ip{11};vyklyuchatel{12};material{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;глубина;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;высота;ширина;выступ;глубина;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные"
спот,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};dlina{6};vysota{7};shirina{8};vystup{9};klass_elektrobezopasnosti{10};klass_ip{11};vyklyuchatel{12};material{13};seriya{14};dop_dannye{15},"количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;длина;высота;ширина;выступ;класс электробезопасности;класс IP;выключатель;материал;серия;доп. данные"
наземные,kolichestvo_lamp{2};tip_cokolya{3};moschnost_lampy{4};napryazhenie{5};cvet{6};dlina{7};shirina{8};vysota{9};vystup{10};diametr{11};klass_elektrobezopasnosti{12};klass_ip{13};material{14};seriya{15};dop_dannye{16},"количество ламп;тип цоколя;мощность лампы;напряжение;цвет;длина;ширина;высота;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные","количество ламп;тип цоколя;мощность лампы;напряжение;цвет;длина;ширина;высота;выступ;диаметр;класс электробезопасности;класс IP;материал;серия;доп. данные"
накаливания,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};diametr{6};ugol_rasseivaniya{7};sila_sveta{8};svetovoy_potok{9};svetootdacha_lm_w{10};klass_energoeffektivnosti{11};klass_cvetoperedachi_cri{12};cvetovaya_temperatura{13};srok_sluzhby{14};cvet{15};dimmiruemost{16};rabochee_polozhenie{17};upakovka{18};dop_dannye{19},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные"
рефлекторные,tip_cokolya{1};moschnost{2};napryazhenie{3};dlina{4};diametr{5};ugol_rasseivaniya{6};sila_sveta{7};svetovoy_potok{8};svetootdacha_lm_w{9};klass_energoeffektivnosti{10};klass_cvetoperedachi_cri{11};cvetovaya_temperatura{12};srok_sluzhby{13};cvet{14};dimmiruemost{15};rabochee_polozhenie{16};upakovka{17};dop_dannye{18},"тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;диаметр;угол рассеивания;сила света;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;диммируемость;рабочее положение;упаковка;доп. данные"
энергосберегающие,tip_cokolya{2};moschnost{3};napryazhenie{4};dlina{5};shirina{6};diametr{7};sila_sveta{8};nominalnaya_chastota{9};svetovoy_potok{10};svetootdacha_lm_w{11};klass_energoeffektivnosti{12};klass_cvetoperedachi_cri{13};cvetovaya_temperatura{14};srok_sluzhby{15};cvet{16};rabochee_polozhenie{17};upakovka{18};dop_dannye{19},"тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;номинальная частота;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные","тип цоколя;мощность;напряжение;длина;ширина;диаметр;сила света;номинальная частота;световой поток;светоотдача, lm/W;класс энергоэффективности;класс цветопередачи, CRI;цветовая температура;срок службы;цвет;рабочее положение;упаковка;доп. данные"
