клеи,время выдержки{8};расход (объем){6};цвет{3};время выдержки перед затиркой настенной плитки{14};время ожидания заливки настенной плитки{18};прочность сцепления с основанием{20};хранение{24};водопоглощение{22};срок хранения на открытом воздухе{10};упаковка (объем){26};t при нанесении{15};степень блеска{4};срок годности смеси{9};время пригодности затворенного клея{7};время ожидания заливки напольной плитки{17};расход (масса){5};пешеходное движение возможно{16};назначение{1};доп. данные{27};примечание{28};упаковка (масса){25};время выдержки перед затиркой напольной плитки{13};время открытой выдержки{11};время корректировки уложенной плитки{12};поверхность пригодна к использованию{19};термоустойчивость{21};консистенция{2};морозостойкость{23}
герметики,хранение питьевой воды{36};доп. данные{42};окончательная усадка{34};время ожидания перед заливкой стен с быстросхватывающимся клеем{16};цвет{2};упаковка (объем){41};устойчивость к абразии{33};время ожидания перед заливкой напольного покрытия на основе р-ра{19};t во время нанесения{10};расход (объем){5};max толщина слоя{22};min толщина слоя{21};пешеходное движение возможно{28};время жизнеспособности смеси{13};нанесение{38};усадка{35};очистка приборов{37};гибкость{9};срок годности смеси{25};время ожидания перед заливкой напольного покрытия с клеем{17};хранение{39};примечание{43};время выдержки{26};пропорция для смеси{3};удельная плотность смеси{8};min толщина сухой пленки{23};расход (масса){4};поверхность может использоваться{29};время ожидания между двумя слоями{14};укладка плитки{20};консистенция{1};время ожидания перед заливкой стен с клеем{15};упаковка (масса){40};термическое сопротивление{12};готовность к использованию{30};время ожидания перед заливкой напольного покрытия с быстросхватывающимся клеем{18};устойчивость к истиранию{32};назначение{0};pH{6};плотность{7};время затвердевания{27};окончательная фиксация{24};min допустимая t{11};термоустойчивость{31}
очистители,опасные элементы{6};упаковка (масса){8};примечание{11};цвет{2};pH{3};упаковка (объем){9};назначение{0};консистенция{1};мыть продукт{5};хранение{7};доп. данные{10};плотность{4}
смолы,хранение{9};доп. данные{12};назначение{1};t во время нанесения{5};усадка{8};плотность{4};упаковка (объем){11};время затвердевания{6};цвет{3};упаковка (масса){10};примечание{13};консистенция{2};термоустойчивость{7}
распиловочные,мощность{4};возможность мокрой резки{18};диаметр посадочного отверстия{7};вес{21};max глубина пропила (угол 45°){10};стабилизация оборотов{13};напряжение{2};встроенная подсветка{16};скорость холостого хода{5};сдувание опилок{19};угол наклона{8};серия{22};количество скоростей{11};вид станка{0};плавный пуск{14};частота{3};лазерный указатель{17};диаметр диска{6};подключение пылесоса{20};max глубина пропила (угол 90°){9};регулировка оборотов{12};питание{1};электрический тормоз{15}
ленточные,ширина ленты{8};ширина пропила{11};max размер заготовки (квадратная){13};стабилизация оборотов{16};напряжение{3};подключение пылесоса{20};скорость холостого хода{6};серия{23};толщина ленты{9};кол-во скоростей{14};встроенная подсветка{19};плавный пуск{17};частота{4};кейс в комплекте{21};длина ленты{7};глубина пропила{10};max размер заготовки (круглая){12};конструкция{2};плавная регулировка оборотов{15};питание{1};электрический тормоз{18};мощность{5};вес{22}
штроборезы (бороздоделы),электрический тормоз{12};питание{0};встроенная подсветка{16};мощность{3};вес{19};диаметр диска{6};система гашения вибрации{15};регулировка оборотов{10};плавный пуск{13};напряжение{1};подключение пылесоса{17};скорость холостого хода{4};серия{20};диаметр посадочного отверстия{7};стабилизация оборотов{11};система сцепления{14};частота{2};кейс в комплекте{18};кол-во рабочих дисков{5};max ширина реза{9};max глубина реза{8}
сабельные (ножовки),кол-во ступеней маятникового хода{16};тип аккумулятора{1};регулировка скорости хода{18};ёмкость аккумулятора{4};кол-во механических скоростей{7};антивибрационная технология{22};частота холостого хода{8};кейс в комплекте{25};max толщина резки (дерево){10};серия{29};регулировка маятникового хода{15};расцепляющая муфта{21};напряжение{2};стабилизация скорости{19};время зарядки{5};встроенная подсветка{23};длина хода{9};кол-во аккумуляторов в комплекте{26};бесключевая замена оснастки{13};зарядное устройство в комплекте{27};питание{0};плавный пуск{17};частота{3};max толщина резки (металл){11};электрический тормоз{20};мощность{6};подключение пылесоса{24};max  диаметр разрезаемой трубы{12};вес{28};маятниковый ход{14}
"степлеры (гвоздезабиватели), заклепочники",max усилие{10};угол наклона магазина{12};рабочее давление{14};длина гвоздя{5};диаметр воздухозаборного отверстия{18};регулятор глубины забивания{13};диаметр шпильки{8};длина скобы{1};серия{21};крепежный материал{0};cредний расход воздуха{15};диаметр гвоздя{6};расход воздуха на удар{16};вес{19};диаметр заклепки{9};ширина скобы{2};диаметр скобы{3};тип гвоздя{4};внутренний диаметр воздушного шланга{17};ёмкость магазина{11};длина шпильки{7};кейс в комплекте{20}
"кусторезы, секаторы, ножницы",скорость холостого хода двигателя{13};зарядное устройство в комплекте{27};ёмкость топливного бака{16};тип аккумулятора{4};электронная регулировка скорости{24};ёмкость аккумулятора{7};число резов без подзарядки{10};скорость движения ножей{18};время работы на одном заряде{9};вес инструмента{22};max рабочая скорость двигателя{14};тип инструмента{0};кейс в комплекте{28};расход топлива{17};напряжение сети/аккумулятора{5};электрический тормоз двигателя{25};время зарядки аккумулятора{8};скорость резания{11};длина ножа для кустов{19};свеча зажигания{2};кол-во аккумуляторов в комплекте{26};объём двигателя{15};питание{1};плавный пуск{23};частота сети{6};ширина ножа для травы{21};мощность{12};устройство аккумулятора{3};max диаметр резки{20}
