attribute,attribute_label_admin,attribute_label_default,value
zaschelka,защелка,защелка,да;есть;нет
zasov,засов,засов,да;есть;нет
tyagi,тяги,тяги,да;есть;нет
zadvizhka,задвижка,задвижка,да;есть;нет
plavnyy_pusk,"плавный пуск","плавный пуск",да;есть;нет
regulirovka_oborotov,"регулировка оборотов","регулировка оборотов",да;есть;нет
revers,реверс,реверс,да;есть;нет
kol_vo_regu_krut_mome,"кол-во регулировок крутящего момента","кол-во регулировок крутящего момента",да;есть;нет
regulirovka_chastoty_hodov,"регулировка частоты ходов","регулировка частоты ходов",да;есть;нет
naklon_podoshvy,"наклон подошвы","наклон подошвы",да;есть;нет
vstroennaya_podsvetka,"встроенная подсветка","встроенная подсветка",да;есть;нет
lazernyy_ukazatel,"лазерный указатель","лазерный указатель",да;есть;нет
vyborka_chetverti,"выборка четверти","выборка четверти",да;есть;нет
regulirovka_temperatury,"регулировка температуры","регулировка температуры",да;есть;нет
regulirovka_potoka_vozduha,"регулировка потока воздуха","регулировка потока воздуха",да;есть;нет
regulirovka_moschnosti,"регулировка мощности","регулировка мощности",да;есть;нет
kol_vo_akku_v_komp,"кол-во аккумуляторов в комплекте","кол-во аккумуляторов в комплекте",да;есть;нет
keys_v_komplekte,"кейс в комплекте","кейс в комплекте",да;есть;нет
antivibracionnaya_sistema,"антивибрационная система","антивибрационная система",да;есть;нет
stabilizaciya_skorosti,"стабилизация скорости","стабилизация скорости",да;есть;нет
stabilizaciya_oborotov,"стабилизация оборотов","стабилизация оборотов",да;есть;нет
vozm_podk_k_pyle,"возможность подключения к пылесосу","возможность подключения к пылесосу",да;есть;нет
stabilizaciya_chastoty_hodov,"стабилизация частоты ходов","стабилизация частоты ходов",да;есть;нет
zaschitnyy_ekran,"защитный экран","защитный экран",да;есть;нет
rezhim_mayatnikovogo_hoda,"режим маятникового хода","режим маятникового хода",да;есть;нет
elektricheskiy_tormoz,"электрический тормоз","электрический тормоз",да;есть;нет
vozm_podk_pyle,"возможность подключения пылесоса","возможность подключения пылесоса",да;есть;нет
keys_sumka_v_komplekte,"кейс/сумка в комплекте","кейс/сумка в комплекте",да;есть;нет
v_obraznyy_paz,"V-образный паз","V-образный паз",да;есть;нет
parallelnyy_upor_v_komplekte,"параллельный упор в комплекте","параллельный упор в комплекте",да;есть;нет
vozmozhnost_mokroy_rezki,"возможность мокрой резки","возможность мокрой резки",да;есть;нет
funkciya_pogruzheniya,"функция погружения","функция погружения",да;есть;нет
zary_ustr_v_komp,"зарядное устройство в комплекте","зарядное устройство в комплекте",да;есть;нет
ZhK_displey,ЖК-дисплей,ЖК-дисплей,да;есть;нет
pylesbornik_v_komplekte,"пылесборник в комплекте","пылесборник в комплекте",да;есть;нет
regu_krut_mome,"регулировка крутящего момента","регулировка крутящего момента",да;есть;нет
