_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
гидроизоляция,naznachenie{2};konsistenciya{3};cvet{4};rashod{5};trebuemoe_kol_vo{6};plotnost_smesi{7};plotnost{8};t_primeneniya{9};vremya_zhiznesposobnosti_smesi{10};gotovnost_k_ispolzovaniyu{11};max_tolschina_sloya{12};min_tolschina_suhoy_plenki{13};okonchatelnaya_fiksaciya{14};termoustoychivost{15};vodopogloschenie{16};vodopronicaemost{17};paropronicaemost{18};morozostoykost{19};hranenie{20};upakovka_massa_{21};upakovka_obem_{22};dop_dannye{23};primechanie{24},назначение;консистенция;цвет;расход;требуемое кол-во;плотность смеси;плотность;t применения;время жизнеспособности смеси;готовность к использованию;max толщина слоя;min толщина сухой пленки;окончательная фиксация;термоустойчивость;водопоглощение;водопроницаемость;паропроницаемость;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание,назначение;консистенция;цвет;расход;требуемое кол-во;плотность смеси;плотность;t применения;время жизнеспособности смеси;готовность к использованию;max толщина слоя;min толщина сухой пленки;окончательная фиксация;термоустойчивость;водопоглощение;водопроницаемость;паропроницаемость;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание
гусеничные_экскаваторы,massa{1};glavnyy{2};dvigatel{3};moschnost_dvigatelya{4};chislo_oborotov{5};chis_obor_pri_max_krut_mome{6};ekspluatacionnaya_moschnost{7};ekspluatacionnaya_massa{8};obem_dvigatelya{9};gabaritnaya_dlina{10};gabaritnaya_shirina{11};gabaritnaya_vysota{12};obem_ekskavatornogo_kovsha{13};poleznyy_obem{14};shirina_gusenichnyh_trakov{15};shirina_kovsha{16};tyagovoe_usilie_na_kryuke{17};glubina_kopaniya{18};sila_cherpaniya{19};sila_kopaniya_na_kovshe{20};sila_kopaniya_na_rukoyati{21};vyryvnoe_usilie{22};udelnoe_davlenie_na_grunt{23};nizhnyaya_telezhka{24};strela{25};dlina_strely{26};dlina_rukoyati{27};gorizontalnyy_vylet{28};glavnyy_nasos{29};max_usilie_otryva_na_rukoyati{30};max_usilie_otryva_na_kovshe{31};dop_dannye{32},масса;главный;двигатель;мощность двигателя;число оборотов;число оборотов при max. крутящем моменте;эксплуатационная мощность;эксплуатационная масса;объем двигателя;габаритная длина;габаритная ширина;габаритная высота;объем экскаваторного ковша;полезный объем;ширина гусеничных траков;ширина ковша;тяговое усилие на крюке;глубина копания;сила черпания;сила копания на ковше;сила копания на рукояти;вырывное усилие;удельное давление на грунт;нижняя тележка;стрела;длина стрелы;длина рукояти;горизонтальный вылет;главный насос;max. усилие отрыва на рукояти;max. усилие отрыва на ковше;доп. данные,масса;главный;двигатель;мощность двигателя;число оборотов;число оборотов при max. крутящем моменте;эксплуатационная мощность;эксплуатационная масса;объем двигателя;габаритная длина;габаритная ширина;габаритная высота;объем экскаваторного ковша;полезный объем;ширина гусеничных траков;ширина ковша;тяговое усилие на крюке;глубина копания;сила черпания;сила копания на ковше;сила копания на рукояти;вырывное усилие;удельное давление на грунт;нижняя тележка;стрела;длина стрелы;длина рукояти;горизонтальный вылет;главный насос;max. усилие отрыва на рукояти;max. усилие отрыва на ковше;доп. данные
бульдозеры,massa{1};moschnost_dvigatelya{2};emkost_toplivnogo_baka{3};podem_otvala{4};shirina_otvala{5};emkost_otvala{6};vmestimost_otvala{7};gabaritnaya_vysota{8};gaba_shir_bez_otva_{9};gabaritnaya_shirina_s_otvalom_{10};gabaritnaya_dlina_s_otvalom_{11};dop_dannye{12},масса;мощность двигателя;емкость топливного бака;подъем отвала;ширина отвала;емкость отвала;вместимость отвала;габаритная высота;габаритная ширина (без отвала);габаритная ширина (с отвалом);габаритная длина (с отвалом);доп. данные,масса;мощность двигателя;емкость топливного бака;подъем отвала;ширина отвала;емкость отвала;вместимость отвала;габаритная высота;габаритная ширина (без отвала);габаритная ширина (с отвалом);габаритная длина (с отвалом);доп. данные
колесные_экскаваторы,massa{1};dvigatel{2};korobka_peredach{3};tip_dvigatelya{4};moschnost_dvigatelya{5};chislo_oborotov{6};ekspluatacionnaya_moschnost{7};ekspluatacionnaya_massa{8};max_skorost_dvizheniya{9};emkost_toplivnogo_baka{10};kolesnaya_formula{11};rezhim_rulevogo_upravleniya{12};elektrika{13};shassi{14};gabaritnaya_dlina{15};gabaritnaya_shirina{16};gabaritnaya_vysota{17};obem_pogruzochnogo_kovsha{18};obem_ekskavatornogo_kovsha{19};obem_prelagaemyh_kovshey{20};max_vysota_podema_kovsha{21};max_vysota_vygruzki{22};ugol_povorota_kovsha{23};radius_razvorota{24};proi_naso_gidr_sist{25};uroven_shuma{26};glubina_kopaniya{27};max_tyagovoe_usilie{28};max_vylet_strely{29};kovsh{30};vysota_vygruzki{31};vyso_do_gori_dnis{32};vysota_osi_sharnira_kovsha{33};vylet_osi_sharnira_kovsha{34};vyle_krom_kovs_na_urov_zeml{35};max_vylet_podnyatogo_kovsha{36};vyle_podn_kovs_pri_vygr{37};ugol_zaprokidyvaniya_kovsha{38};ugol_vygruzki{39};shirina_raskrytiya_chelyustey{40};dop_dannye{41},масса;двигатель;коробка передач;тип двигателя;мощность двигателя;число оборотов;эксплуатационная мощность;эксплуатационная масса;max. скорость движения;емкость топливного бака;колесная формула;режим рулевого управления;электрика;шасси;габаритная длина;габаритная ширина;габаритная высота;объем погрузочного ковша;объем экскаваторного ковша;объем прелагаемых ковшей;max. высота подъема ковша;max. высота выгрузки;угол поворота ковша;радиус разворота;производительность насосов гидравлической системы;уровень шума;глубина копания;max. тяговое усилие;max. вылет стрелы;ковш;высота выгрузки;высота до горизонтального днища;высота оси шарнира ковша;вылет оси шарнира ковша;вылет кромки ковша на уровне земли;max. вылет поднятого ковша;вылет поднятого ковша при выгрузке;угол запрокидывания ковша;угол выгрузки;ширина раскрытия челюстей;доп. данные,масса;двигатель;коробка передач;тип двигателя;мощность двигателя;число оборотов;эксплуатационная мощность;эксплуатационная масса;max. скорость движения;емкость топливного бака;колесная формула;режим рулевого управления;электрика;шасси;габаритная длина;габаритная ширина;габаритная высота;объем погрузочного ковша;объем экскаваторного ковша;объем прелагаемых ковшей;max. высота подъема ковша;max. высота выгрузки;угол поворота ковша;радиус разворота;производительность насосов гидравлической системы;уровень шума;глубина копания;max. тяговое усилие;max. вылет стрелы;ковш;высота выгрузки;высота до горизонтального днища;высота оси шарнира ковша;вылет оси шарнира ковша;вылет кромки ковша на уровне земли;max. вылет поднятого ковша;вылет поднятого ковша при выгрузке;угол запрокидывания ковша;угол выгрузки;ширина раскрытия челюстей;доп. данные
ямобуры,diametr_bureniya{1};glubina_bureniya{2};dop_dannye{4},диаметр бурения;глубина бурения;доп. данные,диаметр бурения;глубина бурения;доп. данные
погрузчики,massa{1};nominalnaya_gruzopodemnost{2};dvigatel{3};moschnost_dvigatelya{4};kolesa{5};korobka_peredach{6};privod{7};skorost_s_bez_gruza{8};rulevoe_upravlenie{9};shassi{10};vysota_podema{11};gabaritnaya_dlina{12};gabaritnaya_shirina{13};gabaritnaya_vysota{14};dop_dannye{15},масса;номинальная грузоподъемность;двигатель;мощность двигателя;колеса;коробка передач;привод;скорость с / без груза;рулевое управление;шасси;высота подъема;габаритная длина;габаритная ширина;габаритная высота;доп. данные,масса;номинальная грузоподъемность;двигатель;мощность двигателя;колеса;коробка передач;привод;скорость с / без груза;рулевое управление;шасси;высота подъема;габаритная длина;габаритная ширина;габаритная высота;доп. данные
вибропогружатели,massa{1};raskrytie_zahvata{2};davlenie_zahvata{3};dop_dannye{5},масса;раскрытие захвата;давление захвата;доп. данные,масса;раскрытие захвата;давление захвата;доп. данные
плиткорезы,tip{1};naznachenie{2};karetka_na_podshipnikah{3};rezhuschiy_element{4};max_dlina_rezki{5};max_glubina_rezki{6};rezak_otverstiy{7};diametr_vyrezaemyh_otverstiy{8};ves{9},тип;назначение;каретка на подшипниках;режущий элемент;max длина резки;max глубина резки;резак отверстий;диаметр вырезаемых отверстий;вес,тип;назначение;каретка на подшипниках;режущий элемент;max длина резки;max глубина резки;резак отверстий;диаметр вырезаемых отверстий;вес
шпатлевки,naznachenie{1};konsistenciya{2};cvet{3};stepen_bleska{4};rashod_obem_{5};rashod_massa_{6};plotnost{7};t_naneseniya{8};tolschina_sloya{9};srok_godnosti_smesi{10};voda_dlya_smesi{11};morozostoykost{12};hranenie{13};upakovka_massa_{14};upakovka_obem_{15};dop_dannye{16};primechanie{17},назначение;консистенция;цвет;степень блеска;расход (объем);расход (масса);плотность;t нанесения;толщина слоя;срок годности смеси;вода для смеси;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание,назначение;консистенция;цвет;степень блеска;расход (объем);расход (масса);плотность;t нанесения;толщина слоя;срок годности смеси;вода для смеси;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание
ремонтные_смеси,naznachenie{2};konsistenciya{3};cvet{4};rashod_massa_{5};rashod_obem_{6};koli_vody_neob_dlya_zatv{7};tols_vyra_sloy{8};srok_godnosti_smesi{9};peshehodnoe_dvizhenie{10};t_pri_nanesenii{11};morozostoykost{12};hranenie{13};upakovka_massa_{14};upakovka_obem_{15};dop_dannye{16};primechanie{17},"назначение;консистенция;цвет;расход (масса);расход (объем);количество воды, необходимое для затворения;толщина выравнивающего слоя;срок годности смеси;пешеходное движение;t при нанесении;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание","назначение;консистенция;цвет;расход (масса);расход (объем);количество воды, необходимое для затворения;толщина выравнивающего слоя;срок годности смеси;пешеходное движение;t при нанесении;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание"
